Quantity of product,Income,Cost,Net Income,Avg Cost
4722,264432,616610.3,-352178.30000000005,130.58
4744,265664,616918.88,-351254.88,130.04
4728,264768,616662.94,-351894.93999999994,130.43
4739,265384,616780.04,-351396.04000000004,130.15
4720,264320,616630.3999999999,-352310.3999999999,130.64
4743,265608,616827.26,-351219.26,130.05
4722,264432,616610.3,-352178.30000000005,130.58
4735,265160,616800.55,-351640.55000000005,130.26
4741,265496,616827.4,-351331.4,130.1
4739,265384,616780.04,-351396.04000000004,130.15
4735,265160,616800.55,-351640.55000000005,130.26
4727,264712,616704.21,-351992.20999999996,130.46
4732,264992,616708.27,-351716.27,130.33
4725,264600,616703.5,-352103.5,130.52
4723,264488,616658.44,-352170.43999999994,130.56
4745,265720,616874.44,-351154.43999999994,130.01
4708,263648,616480.76,-352832.76,130.94
4748,265888,616897.59,-351009.58999999997,129.93
4715,264040,616491.3200000001,-352451.32000000007,130.75
4740,265440,616803.73,-351363.73,130.13
4734,265104,616824.1000000001,-351720.1000000001,130.3
4734,265104,616755.95,-351651.94999999995,130.28
4745,265720,616874.44,-351154.43999999994,130.01
4736,265216,616824.3200000001,-351608.32000000007,130.24
4743,265608,616895.29,-351287.29000000004,130.06
4713,263928,616486.9199999999,-352558.9199999999,130.81
4736,265216,616824.3200000001,-351608.32000000007,130.24
4749,265944,616921.08,-350977.07999999996,129.91
4733,265048,616800.28,-351752.28,130.32
4737,265272,616779.96,-351507.95999999996,130.2
4740,265440,616803.73,-351363.73,130.13
4753,266168,617035.23,-350867.23,129.82
4745,265720,616942.45,-351222.44999999995,130.02
4742,265552,616851.05,-351299.05000000005,130.08
4734,265104,616755.95,-351651.94999999995,130.28
4731,264936,616684.4,-351748.4,130.35
4745,265720,616874.44,-351154.43999999994,130.01
4724,264544,616611.21,-352067.20999999996,130.53
4723,264488,616655.44,-352167.43999999994,130.56
4732,264992,616776.44,-351784.43999999994,130.34
4737,265272,616779.96,-351507.95999999996,130.2
4722,264432,616613.3,-352181.30000000005,130.58
4725,264600,616635.24,-352035.24,130.5
4762,266672,617152.6,-350480.6,129.6
4725,264600,616706.5,-352106.5,130.52
4731,264936,616752.5800000001,-351816.5800000001,130.36
4732,264992,616776.44,-351784.43999999994,130.34
4740,265440,616803.73,-351363.73,130.13
4749,265944,616989.04,-351045.04000000004,129.92
4756,266336,617057.72,-350721.72,129.74
4744,265664,616850.86,-351186.86,130.03
4721,264376,616586.2,-352210.19999999995,130.6
4731,264936,616684.4,-351748.4,130.35
4733,265048,616732.12,-351684.12,130.3
4751,266056,616988.43,-350932.43000000005,129.86
4738,265328,616871.8,-351543.80000000005,130.2
4740,265440,616803.73,-351363.73,130.13
4733,265048,616732.12,-351684.12,130.3
4728,264768,616728.1599999999,-351960.1599999999,130.44
4749,265944,616989.04,-351045.04000000004,129.92
4741,265496,616827.4,-351331.4,130.1
4743,265608,616895.29,-351287.29000000004,130.06
4731,264936,616755.5800000001,-351819.5800000001,130.36
4732,264992,616776.44,-351784.43999999994,130.34
4738,265328,616871.8,-351543.80000000005,130.2
4725,264600,616703.5,-352103.5,130.52
4727,264712,616635.98,-351923.98,130.45
4745,265720,616874.44,-351154.43999999994,130.01
4732,264992,616776.44,-351784.43999999994,130.34
4744,265664,616918.88,-351254.88,130.04
4739,265384,616780.04,-351396.04000000004,130.15
4745,265720,616942.45,-351222.44999999995,130.02
4744,265664,616850.86,-351186.86,130.03
4749,265944,616989.04,-351045.04000000004,129.92
4747,265832,616874.0800000001,-351042.0800000001,129.95
4715,264040,616488.3200000001,-352448.32000000007,130.75
4727,264712,616635.98,-351923.98,130.45
4738,265328,616871.8,-351543.80000000005,130.2
4734,265104,616824.1000000001,-351720.1000000001,130.3
4753,266168,616967.3200000001,-350799.32000000007,129.81
4702,263312,616428.1,-353116.1,131.1
4720,264320,616630.3999999999,-352310.3999999999,130.64
4760,266560,617103.2,-350543.19999999995,129.64
4729,264824,616752.09,-351928.08999999997,130.42
4726,264656,616659.25,-352003.25,130.48
4751,266056,616988.43,-350932.43000000005,129.86
4732,264992,616708.27,-351716.27,130.33
4731,264936,616684.4,-351748.4,130.35
4730,264880,616776.0,-351896.0,130.4
4751,266056,616988.43,-350932.43000000005,129.86
4726,264656,616727.5,-352071.5,130.5
4730,264880,616707.8,-351827.80000000005,130.38
4738,265328,616803.7,-351475.69999999995,130.18
4753,266168,616967.3200000001,-350799.32000000007,129.81
4740,265440,616871.8,-351431.80000000005,130.14
4725,264600,616635.24,-352035.24,130.5
4734,265104,616755.95,-351651.94999999995,130.28
4728,264768,616728.1599999999,-351960.1599999999,130.44
4719,264264,616606.27,-352342.27,130.66
4743,265608,616827.26,-351219.26,130.05
4704,263424,616361.56,-352937.56000000006,131.03
4714,263984,616579.6000000001,-352595.6000000001,130.8
4733,265048,616800.28,-351752.28,130.32
4730,264880,616707.8,-351827.80000000005,130.38
4735,265160,616732.4199999999,-351572.4199999999,130.25
4731,264936,616687.4,-351751.4,130.35
4753,266168,616967.3200000001,-350799.32000000007,129.81
4727,264712,616635.98,-351923.98,130.45
4721,264376,616657.51,-352281.51,130.62
4737,265272,616779.96,-351507.95999999996,130.2
4743,265608,616830.26,-351222.26,130.05
4738,265328,616871.8,-351543.80000000005,130.2
4740,265440,616803.73,-351363.73,130.13
4759,266504,617130.56,-350626.56000000006,129.68
4733,265048,616800.28,-351752.28,130.32
4728,264768,616659.94,-351891.93999999994,130.43
4725,264600,616703.5,-352103.5,130.52
4743,265608,616827.26,-351219.26,130.05
4728,264768,616659.94,-351891.93999999994,130.43
4745,265720,616874.44,-351154.43999999994,130.01
4758,266448,617036.45,-350588.44999999995,129.68
4743,265608,616895.29,-351287.29000000004,130.06
4747,265832,616874.0800000001,-351042.0800000001,129.95
4742,265552,616851.05,-351299.05000000005,130.08
4733,265048,616732.12,-351684.12,130.3
4738,265328,616871.8,-351543.80000000005,130.2
4734,265104,616824.1000000001,-351720.1000000001,130.3
4721,264376,616586.2,-352210.19999999995,130.6
4733,265048,616800.28,-351752.28,130.32
4717,264152,616605.12,-352453.12,130.72
4736,265216,616756.2,-351540.19999999995,130.23
