Quantity of product,Income,Cost,Net Income,Avg Cost
5963,333928,560022.48,-226094.47999999998,93.92
5984,335104,559991.36,-224887.36,93.58
5982,334992,559970.61,-224978.61,93.61
6003,336168,559933.28,-223765.28000000003,93.28
6020,337120,559990.2,-222870.19999999995,93.02
6008,336448,559972.8,-223524.80000000005,93.2
5986,335216,559978.3,-224762.30000000005,93.55
6036,338016,559963.65,-221947.65000000002,92.77
5971,334376,559980.19,-225604.18999999994,93.78
5980,334880,559936.78,-225056.78000000003,93.63
6015,336840,559998.25,-223158.25,93.1
5973,334488,560014.24,-225526.24,93.76
5986,335216,559978.3,-224762.30000000005,93.55
5981,334936,559923.8,-224987.80000000005,93.62
5967,334152,559924.72,-225772.71999999997,93.84
6030,337680,559926.47,-222246.46999999997,92.86
6011,336616,559992.38,-223376.38,93.16
5995,335720,559979.74,-224259.74,93.41
6015,336840,559998.25,-223158.25,93.1
6005,336280,559966.52,-223686.52000000002,93.25
6059,339304,559940.1799999999,-220636.17999999993,92.41
6025,337400,559935.28,-222535.28000000003,92.94
6044,338464,559972.19,-221508.18999999994,92.65
5990,335440,559925.86,-224485.86,93.48
5976,334656,559975.6000000001,-225319.6000000001,93.7
5985,335160,559978.3,-224818.30000000005,93.56
5975,334600,559941.64,-225341.64,93.71
5949,333144,559972.36,-226828.36,94.13
5988,335328,559998.88,-224670.88,93.52
5993,335608,559946.24,-224338.24,93.43
6001,336056,560006.6599999999,-223950.65999999992,93.32
6022,337232,559976.5,-222744.5,92.99
6009,336504,560019.4,-223515.40000000002,93.2
6001,336056,559960.0,-223904.0,93.31
6030,337680,559926.47,-222246.46999999997,92.86
6041,338296,559954.0,-221658.0,92.69
6040,338240,560014.4,-221774.40000000002,92.72
6022,337232,559976.5,-222744.5,92.99
5997,335832,559953.24,-224121.24,93.37
6008,336448,559972.8,-223524.80000000005,93.2
6022,337232,560023.0,-222791.0,93.0
5964,333984,559962.8500000001,-225978.8500000001,93.89
6043,338408,559925.86,-221517.86,92.66
5993,335608,559992.96,-224384.95999999996,93.44
5993,335608,559946.24,-224338.24,93.43
6012,336672,559978.8400000001,-223306.84000000008,93.14
6020,337120,559990.2,-222870.19999999995,93.02
5990,335440,559925.86,-224485.86,93.48
6053,338968,560011.78,-221043.78000000003,92.52
5987,335272,560011.99,-224739.99,93.54
5996,335776,559966.5,-224190.5,93.39
5989,335384,559985.75,-224601.75,93.5
6043,338408,559972.19,-221564.18999999994,92.66
5985,335160,559978.3,-224818.30000000005,93.56
6006,336336,559953.1,-223617.09999999998,93.23
6023,337288,560009.27,-222721.27000000002,92.98
5990,335440,559925.86,-224485.86,93.48
5994,335664,559979.74,-224315.74,93.42
5981,334936,559970.61,-225034.61,93.62
5996,335776,559966.5,-224190.5,93.39
6001,336056,559960.0,-223904.0,93.31
5993,335608,559946.24,-224338.24,93.43
6008,336448,559972.8,-223524.80000000005,93.2
6025,337400,559981.75,-222581.75,92.94
5994,335664,559933.03,-224269.03000000003,93.42
5974,334544,560001.38,-225457.38,93.74
6002,336112,559946.6499999999,-223834.6499999999,93.29
5990,335440,559925.86,-224485.86,93.48
5990,335440,559925.86,-224485.86,93.48
6008,336448,559926.2,-223478.19999999995,93.2
6016,336896,559938.1,-223042.09999999998,93.07
6022,337232,559976.5,-222744.5,92.99
6034,337904,559931.2,-222027.19999999995,92.8
5979,334824,559949.74,-225125.74,93.65
6068,339808,559931.38,-220123.38,92.28
6016,336896,559938.1,-223042.09999999998,93.07
6031,337736,560019.3300000001,-222283.33000000007,92.86
6001,336056,560006.6599999999,-223950.65999999992,93.32
5971,334376,559933.3,-225557.30000000005,93.78
5973,334488,560014.24,-225526.24,93.76
5985,335160,559978.3,-224818.30000000005,93.56
5998,335888,559939.96,-224051.95999999996,93.35
6014,336784,559965.28,-223181.28000000003,93.11
5997,335832,559953.24,-224121.24,93.37
